epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4182.95,1.11058,0.88616,0.98583,0.7899,0.68995,0.70734,0.53363,0.79658,0.76611,0.88366,0.00333276,0.00333276,0.00333276
2,8460.82,0.98833,0.6194,0.92971,0.77062,0.69571,0.70982,0.5535,0.77551,0.7037,0.90516,0.0066001,0.0066001,0.0066001
3,12654.7,0.99625,0.62663,0.93226,0.83146,0.6868,0.7457,0.5832,0.7604,0.67218,0.89806,0.00980144,0.00980144,0.00980144
4,16703.6,0.98321,0.61637,0.9305,0.86203,0.71079,0.74741,0.59905,0.73604,0.69591,0.90135,0.009703,0.009703,0.009703
5,20313.4,0.94206,0.57168,0.91888,0.8478,0.69867,0.77515,0.62458,0.70171,0.62885,0.87293,0.009604,0.009604,0.009604
6,24201.3,0.91394,0.54716,0.91159,0.84864,0.73031,0.77911,0.62701,0.69588,0.61779,0.87705,0.009505,0.009505,0.009505
7,28093.4,0.89356,0.52756,0.90616,0.85044,0.72979,0.79019,0.64476,0.67918,0.60555,0.87343,0.009406,0.009406,0.009406
8,31839.3,0.88219,0.51618,0.90323,0.86361,0.73373,0.80969,0.66513,0.66454,0.59158,0.86732,0.009307,0.009307,0.009307
9,35760.9,0.86754,0.5042,0.89841,0.87135,0.7225,0.80302,0.66542,0.659,0.59183,0.86872,0.009208,0.009208,0.009208
10,39661.3,0.85737,0.4975,0.89693,0.85534,0.74033,0.81699,0.67798,0.65496,0.56116,0.86818,0.009109,0.009109,0.009109
11,43552.2,0.8514,0.48885,0.8949,0.842,0.7305,0.79227,0.66109,0.64681,0.57854,0.86632,0.00901,0.00901,0.00901
12,47605.3,0.84057,0.48201,0.89118,0.87738,0.73456,0.80315,0.67403,0.6373,0.57291,0.86058,0.008911,0.008911,0.008911
13,51787.3,0.83644,0.47736,0.89178,0.87764,0.73961,0.82729,0.69184,0.63385,0.56292,0.8599,0.008812,0.008812,0.008812
14,55825.2,0.83427,0.47292,0.8901,0.86211,0.73573,0.82091,0.69007,0.62914,0.56302,0.85696,0.008713,0.008713,0.008713
15,59953.6,0.82433,0.466,0.88798,0.87602,0.73482,0.81646,0.6853,0.62856,0.56512,0.86066,0.008614,0.008614,0.008614
16,63604.3,0.8206,0.4628,0.8869,0.86513,0.73971,0.81755,0.68647,0.62877,0.56257,0.86436,0.008515,0.008515,0.008515
17,67514.7,0.8193,0.46236,0.886,0.86199,0.73067,0.80541,0.67919,0.62829,0.56865,0.86637,0.008416,0.008416,0.008416
18,71399.8,0.81122,0.45715,0.88427,0.85452,0.72887,0.80546,0.6781,0.62907,0.56626,0.8674,0.008317,0.008317,0.008317
19,75280.5,0.80641,0.45303,0.88248,0.86062,0.73182,0.81931,0.68942,0.6287,0.55943,0.86884,0.008218,0.008218,0.008218
20,79319.5,0.80532,0.45099,0.88206,0.86847,0.72875,0.82064,0.69212,0.62773,0.55569,0.87015,0.008119,0.008119,0.008119
21,83356.9,0.80117,0.44788,0.882,0.87555,0.73114,0.81767,0.69045,0.62639,0.55671,0.86985,0.00802,0.00802,0.00802
22,87403.4,0.79932,0.44545,0.88164,0.87399,0.73823,0.81916,0.69042,0.62532,0.55434,0.86961,0.007921,0.007921,0.007921
23,91446.9,0.79425,0.44361,0.87965,0.8751,0.73672,0.81985,0.68965,0.62536,0.55301,0.87103,0.007822,0.007822,0.007822
24,95492.1,0.79256,0.44099,0.87985,0.87569,0.73573,0.82112,0.69052,0.62444,0.55199,0.87109,0.007723,0.007723,0.007723
25,99535.7,0.79137,0.43909,0.8797,0.88045,0.72818,0.82155,0.69122,0.62351,0.55115,0.87088,0.007624,0.007624,0.007624
26,103581,0.78837,0.43742,0.87875,0.86675,0.73799,0.82045,0.69176,0.62168,0.55084,0.86963,0.007525,0.007525,0.007525
27,107625,0.7862,0.43653,0.87869,0.86527,0.73994,0.82316,0.69474,0.62027,0.54886,0.86948,0.007426,0.007426,0.007426
28,111667,0.78406,0.4347,0.87775,0.86777,0.73863,0.82201,0.6953,0.61877,0.54878,0.86888,0.007327,0.007327,0.007327
29,115716,0.77886,0.43183,0.87678,0.87188,0.73392,0.81874,0.69322,0.61697,0.55,0.86743,0.007228,0.007228,0.007228
30,119768,0.77808,0.43012,0.87624,0.87366,0.73073,0.82171,0.69606,0.61532,0.55006,0.86588,0.007129,0.007129,0.007129
31,123814,0.77756,0.42855,0.87697,0.87336,0.72822,0.82179,0.69643,0.61472,0.55041,0.86669,0.00703,0.00703,0.00703
32,127699,0.77438,0.42709,0.87582,0.87248,0.72768,0.82477,0.69869,0.61393,0.54816,0.86689,0.006931,0.006931,0.006931
33,131900,0.77197,0.42475,0.87472,0.87278,0.72968,0.82577,0.6995,0.6134,0.54702,0.86712,0.006832,0.006832,0.006832
34,136823,0.77261,0.42269,0.87461,0.87189,0.73052,0.82727,0.70067,0.61261,0.54515,0.86783,0.006733,0.006733,0.006733
35,142196,0.77103,0.4228,0.87481,0.87079,0.72988,0.82596,0.69985,0.61162,0.54443,0.86789,0.006634,0.006634,0.006634
36,146838,0.7653,0.42083,0.87347,0.86602,0.73268,0.82859,0.70255,0.60997,0.5425,0.86621,0.006535,0.006535,0.006535
37,151749,0.76473,0.41966,0.87367,0.86224,0.73444,0.83188,0.70613,0.60874,0.5406,0.86511,0.006436,0.006436,0.006436
38,155987,0.7645,0.41745,0.87288,0.86165,0.73383,0.83408,0.70802,0.60769,0.53859,0.86486,0.006337,0.006337,0.006337
39,160090,0.76292,0.41683,0.87266,0.8633,0.72616,0.83365,0.70754,0.60662,0.53902,0.86467,0.006238,0.006238,0.006238
40,164188,0.75786,0.4153,0.87108,0.86252,0.7254,0.83594,0.70937,0.60585,0.53807,0.86459,0.006139,0.006139,0.006139
41,168445,0.75703,0.41297,0.8714,0.8663,0.72189,0.83861,0.71168,0.60518,0.53625,0.86449,0.00604,0.00604,0.00604
42,172706,0.75791,0.4122,0.87109,0.87216,0.71482,0.83915,0.71222,0.60417,0.53564,0.86371,0.005941,0.005941,0.005941
43,176813,0.754,0.4108,0.87095,0.87257,0.71388,0.83706,0.7111,0.6037,0.53501,0.8639,0.005842,0.005842,0.005842
44,180921,0.75432,0.40926,0.87042,0.8705,0.71472,0.83619,0.71039,0.60299,0.53492,0.86393,0.005743,0.005743,0.005743
45,185027,0.75388,0.40875,0.87051,0.869,0.71451,0.83757,0.71152,0.60183,0.53402,0.86338,0.005644,0.005644,0.005644
46,188715,0.75519,0.40955,0.87203,0.86651,0.71608,0.83739,0.71173,0.60101,0.53265,0.86311,0.005545,0.005545,0.005545
47,192662,0.74969,0.4061,0.86999,0.86875,0.71247,0.84091,0.71397,0.60051,0.53088,0.86346,0.005446,0.005446,0.005446
48,196607,0.7488,0.40417,0.86921,0.86976,0.71207,0.84244,0.71512,0.60028,0.53021,0.86434,0.005347,0.005347,0.005347
49,200550,0.74481,0.40259,0.86854,0.8718,0.71235,0.84411,0.71649,0.59981,0.529,0.86475,0.005248,0.005248,0.005248
50,204493,0.74326,0.40105,0.86835,0.87271,0.71153,0.84379,0.71664,0.59884,0.52949,0.86419,0.005149,0.005149,0.005149
51,208437,0.74431,0.40151,0.86865,0.87478,0.71019,0.84226,0.71589,0.59826,0.53097,0.86445,0.00505,0.00505,0.00505
52,212376,0.74096,0.39855,0.86709,0.84191,0.7368,0.84184,0.71531,0.59814,0.53193,0.86606,0.004951,0.004951,0.004951
53,216314,0.74082,0.39785,0.86765,0.85577,0.72542,0.84114,0.71497,0.5978,0.53031,0.8664,0.004852,0.004852,0.004852
54,220417,0.74193,0.39765,0.86841,0.84743,0.73355,0.83992,0.71401,0.5975,0.5305,0.86692,0.004753,0.004753,0.004753
55,224670,0.73913,0.39621,0.86703,0.84499,0.73575,0.83804,0.71198,0.59726,0.53077,0.86739,0.004654,0.004654,0.004654
56,228904,0.73592,0.39412,0.86631,0.84511,0.73561,0.83934,0.71279,0.59705,0.52979,0.86802,0.004555,0.004555,0.004555
57,233149,0.73443,0.39264,0.86592,0.84436,0.73724,0.83842,0.71237,0.59668,0.52883,0.86835,0.004456,0.004456,0.004456
58,237393,0.73415,0.39223,0.866,0.84394,0.73881,0.83784,0.71219,0.5958,0.52817,0.86762,0.004357,0.004357,0.004357
59,241640,0.72975,0.39005,0.86536,0.84196,0.74164,0.83813,0.71284,0.59525,0.52691,0.86793,0.004258,0.004258,0.004258
60,245889,0.72802,0.38913,0.8644,0.83696,0.74681,0.83665,0.71215,0.5946,0.52723,0.86785,0.004159,0.004159,0.004159
61,249989,0.72485,0.38694,0.86321,0.83881,0.74717,0.83576,0.71172,0.59406,0.52621,0.86774,0.00406,0.00406,0.00406
62,254084,0.72669,0.38593,0.8648,0.83799,0.74941,0.8346,0.71081,0.59365,0.52564,0.86774,0.003961,0.003961,0.003961
63,258181,0.72249,0.38384,0.86362,0.83785,0.74908,0.83456,0.71099,0.59328,0.52451,0.86745,0.003862,0.003862,0.003862
64,262277,0.72428,0.38409,0.86418,0.84042,0.74777,0.83698,0.71317,0.59276,0.52179,0.86692,0.003763,0.003763,0.003763
65,266530,0.72016,0.38227,0.86235,0.84904,0.74184,0.83903,0.71523,0.59239,0.51857,0.867,0.003664,0.003664,0.003664
66,270672,0.72017,0.38058,0.8621,0.84881,0.74227,0.84185,0.71784,0.59218,0.51534,0.86742,0.003565,0.003565,0.003565
67,274772,0.71668,0.37916,0.86153,0.87349,0.72237,0.84656,0.72143,0.59197,0.51145,0.86816,0.003466,0.003466,0.003466
68,278431,0.71549,0.37806,0.86084,0.87501,0.72296,0.84895,0.72314,0.59178,0.51,0.86872,0.003367,0.003367,0.003367
69,282375,0.71247,0.37581,0.86082,0.87756,0.72259,0.85005,0.72408,0.59127,0.50925,0.86798,0.003268,0.003268,0.003268
70,286316,0.71304,0.3753,0.86085,0.88491,0.72217,0.85198,0.72589,0.59047,0.50873,0.86682,0.003169,0.003169,0.003169
71,290257,0.7126,0.37442,0.86043,0.88589,0.72701,0.85294,0.72694,0.58995,0.50897,0.86667,0.00307,0.00307,0.00307
72,294223,0.70841,0.37194,0.85901,0.88855,0.72931,0.85357,0.72776,0.58957,0.50823,0.86653,0.002971,0.002971,0.002971
73,298321,0.70904,0.3709,0.85903,0.89278,0.72936,0.85496,0.72937,0.58892,0.50744,0.86548,0.002872,0.002872,0.002872
74,302415,0.70255,0.36796,0.8584,0.89459,0.72996,0.85519,0.72977,0.5887,0.50785,0.86559,0.002773,0.002773,0.002773
75,306379,0.70209,0.36624,0.85784,0.89007,0.73387,0.85467,0.7297,0.5882,0.50853,0.8651,0.002674,0.002674,0.002674
76,310478,0.70304,0.36704,0.8585,0.89442,0.72989,0.85355,0.7292,0.58779,0.50984,0.86522,0.002575,0.002575,0.002575
77,314735,0.69902,0.36445,0.85712,0.8955,0.72942,0.85166,0.72754,0.58709,0.51052,0.86476,0.002476,0.002476,0.002476
78,318848,0.7001,0.36396,0.85761,0.89299,0.73268,0.85178,0.72781,0.58663,0.51057,0.86447,0.002377,0.002377,0.002377
79,322942,0.69602,0.36111,0.85666,0.89244,0.73692,0.85496,0.73018,0.58608,0.50977,0.86347,0.002278,0.002278,0.002278
80,327049,0.69427,0.35999,0.85566,0.88825,0.74317,0.85586,0.73101,0.58536,0.5099,0.86234,0.002179,0.002179,0.002179
81,331154,0.69094,0.35814,0.8552,0.90362,0.73348,0.8573,0.73308,0.58474,0.50866,0.86153,0.00208,0.00208,0.00208
82,335258,0.69232,0.35662,0.85579,0.90073,0.73863,0.85941,0.73512,0.58437,0.50768,0.86086,0.001981,0.001981,0.001981
83,339523,0.68781,0.35467,0.85487,0.90079,0.7394,0.86008,0.73583,0.58417,0.50759,0.86093,0.001882,0.001882,0.001882
84,343622,0.68319,0.35247,0.85457,0.89979,0.74107,0.861,0.7363,0.58421,0.50786,0.86129,0.001783,0.001783,0.001783
85,347718,0.68546,0.35099,0.8538,0.89892,0.74388,0.86048,0.73574,0.58413,0.50792,0.86165,0.001684,0.001684,0.001684
86,351817,0.68085,0.34945,0.85299,0.89657,0.74528,0.86104,0.73594,0.58412,0.50729,0.86198,0.001585,0.001585,0.001585
87,355917,0.68034,0.34714,0.85308,0.89342,0.74757,0.86106,0.73597,0.58393,0.50617,0.86175,0.001486,0.001486,0.001486
88,360014,0.67491,0.34467,0.8524,0.89534,0.74684,0.86234,0.73676,0.58357,0.50559,0.8613,0.001387,0.001387,0.001387
89,364119,0.6774,0.34443,0.85263,0.89673,0.74835,0.86332,0.73724,0.58336,0.50612,0.86109,0.001288,0.001288,0.001288
90,368366,0.66865,0.33997,0.85047,0.89716,0.74963,0.86393,0.73713,0.58344,0.50781,0.86157,0.001189,0.001189,0.001189
91,372521,0.65652,0.32234,0.84321,0.89342,0.75262,0.86115,0.73368,0.58339,0.51069,0.86203,0.00109,0.00109,0.00109
92,376780,0.65058,0.31903,0.84305,0.89103,0.75456,0.86153,0.73333,0.58312,0.51205,0.86191,0.000991,0.000991,0.000991
93,381063,0.64837,0.3169,0.84173,0.89897,0.74803,0.86026,0.73212,0.58305,0.5141,0.8623,0.000892,0.000892,0.000892
94,386057,0.64309,0.31355,0.84093,0.90161,0.74697,0.85896,0.73134,0.58302,0.5163,0.86279,0.000793,0.000793,0.000793
95,390038,0.64014,0.31065,0.84015,0.9028,0.74713,0.85694,0.73031,0.58311,0.51768,0.86337,0.000694,0.000694,0.000694
96,394115,0.63734,0.30768,0.83922,0.9022,0.74746,0.85272,0.72786,0.58302,0.51885,0.86348,0.000595,0.000595,0.000595
97,398352,0.63432,0.30555,0.83861,0.89977,0.74906,0.85024,0.72627,0.58296,0.51978,0.86355,0.000496,0.000496,0.000496
98,402648,0.62983,0.30329,0.83757,0.89953,0.74958,0.84662,0.72401,0.58282,0.52172,0.86327,0.000397,0.000397,0.000397
99,406776,0.62781,0.30071,0.83746,0.89784,0.75155,0.84162,0.7212,0.58255,0.52381,0.86297,0.000298,0.000298,0.000298
100,411379,0.62606,0.29859,0.83725,0.89735,0.75234,0.83937,0.71947,0.58245,0.52506,0.86293,0.000199,0.000199,0.000199
